Hight,Accel,time
1.365318,0,0.02
4.07173,0,0.04
4.293363,0,0.3733333
3.630374,0,0.505197
3.503683,-2764.958,0.5296375
3.501726,-3841.494,0.5473998
3.501957,-6523.615,0.5578592
1.596286,-64.51554,0.5684984
1.596156,-3.695958,0.5774516
1.596021,-3.811422,0.5873851
1.595689,-1.114339,0.5970321
1.595542,-2.45299,0.6073196
1.595306,-0.2882422,0.617812
1.595079,-0.6925467,0.6291254
1.59475,1.031832,0.6404155
1.594496,-1.248193,0.6514477
1.594412,0.04064562,0.6620442
1.594195,1.230248,0.6734559
1.594141,0.6564754,0.6864025
1.594134,0.9539173,0.7050948
1.594134,0.4389291,0.7140951
1.593922,2.37831,0.7236481
1.593572,-2.095493,0.7326946
1.593328,-3.672161,0.741668
1.592807,-2.844225,0.7519115
1.592534,-3.217007,0.762629
1.592471,0.8580436,0.7743658
1.592647,2.020444,0.7847846
1.592889,6.59716,0.7958645
1.593089,4.541471,0.8068216
1.593332,2.146951,0.8179612
1.593263,0.6145544,0.8296475
1.593014,-2.802893,0.8401015
1.592027,-1.897522,0.860867
1.591408,-7.268651,0.870599
1.591408,-1.76631,0.88018
1.590859,-3.272008,0.8930931
1.590859,0.4143957,0.9019631
1.591047,1.427428,0.911673
1.591495,9.369759,0.9207223
1.59215,9.87395,0.9299389
1.592942,7.910584,0.9402486
1.593854,6.028821,0.950998
1.594636,3.845124,0.9620039
1.595414,0.03498353,0.9734242
1.596094,-1.278768,0.9853963
1.596638,-2.704545,0.9960602
1.597378,-1.378098,1.015896
1.597822,-2.908742,1.025536
1.597822,-4.696469,1.035161
1.598275,0.07341222,1.043544
1.598805,0.482878,1.05261
1.599433,4.87674,1.062636
1.60022,2.176675,1.073313
1.601064,2.769225,1.08467
1.60201,1.438384,1.095625
1.603154,1.242099,1.106927
1.604398,2.327568,1.118081
1.605762,2.943153,1.128604
1.607148,3.355773,1.140223
1.608561,2.377991,1.151703
1.611668,0.580939,1.171692
1.613397,0.3618628,1.180923
1.615284,-4.185222,1.192495
1.615284,7.613157,1.201113
1.617129,3.737581,1.211128
1.618994,13.17396,1.221061
1.62238,-0.06882334,1.236979
1.624047,0.7334614,1.249662
1.625689,-8.748776,1.26212
1.627247,-4.370336,1.274626
1.628939,-3.161965,1.287473
1.63064,1.916614,1.297644
1.632544,14.18965,1.306987
1.635901,2.569172,1.328579
1.637782,5.434592,1.338305
1.637782,-20.85851,1.347193
1.639662,0.645915,1.356825
1.641654,3.445141,1.366681
1.643613,13.86505,1.375925
1.645393,0.5774184,1.385056
1.647198,-1.717951,1.396037
1.648853,-0.8551983,1.406748
1.650507,-4.241653,1.418058
1.652087,-3.51533,1.428909
1.653662,-5.329862,1.439787
1.655025,-0.5166231,1.450764
1.656347,-2.485242,1.46247
1.65861,-0.7450132,1.488394
1.659683,-4.867126,1.498081
1.660733,-3.950879,1.508428
1.661781,-1.233519,1.518164
1.662935,0.3349812,1.528384
1.664106,2.900838,1.540098
1.665156,0.5898421,1.550739
1.6661,-1.040058,1.562042
1.666799,-2.605819,1.573438
1.667358,-4.849499,1.584339
1.667595,-3.528893,1.595809
1.667692,-5.992109,1.607002
1.667729,-4.991887,1.617686
1.6677,-2.178318,1.638692
1.667493,-1.60986,1.648268
1.666345,-1.190871,1.659217
1.666345,-2.652036,1.668627
1.665979,-11.50312,1.678285
1.665476,-4.027627,1.686802
1.664954,-3.289303,1.696097
1.664451,4.125071,1.706651
1.664009,-1.417897,1.717336
1.663504,0.9601825,1.728032
1.663041,1.236305,1.739388
1.662468,0.9095745,1.751191
1.661714,-0.8121868,1.761743
1.661337,-1.421006,1.773448
1.660802,0.3825662,1.793337
1.660756,0.8847087,1.803085
1.660756,6.609414,1.812407
1.660953,3.221591,1.822008
1.661454,6.98513,1.831017
1.661994,6.034362,1.840044
1.662577,6.183596,1.850519
1.663043,3.764091,1.862051
1.663632,-0.6887293,1.873213
1.664285,-0.8570965,1.883601
1.664954,-0.5193902,1.89511
1.665688,1.794884,1.906173
1.666497,1.115614,1.917495
1.667394,1.375141,1.928169
1.669542,0.7071806,1.949121
1.671475,1.609106,1.958936
1.671475,-1.210492,1.968183
1.673724,13.19323,1.977107
1.676009,16.30532,1.98715
1.678201,20.85524,1.996454
1.680321,2.197528,2.006135
1.682301,-1.314378,2.017878
1.68395,-4.713252,2.028786
1.685991,-6.860492,2.040134
1.687729,-3.874179,2.050626
1.689414,-4.425273,2.062274
1.691682,1.83656,2.073337
1.693348,0.6664308,2.08452
1.69674,-0.1124608,2.106127
1.69833,-1.643386,2.116641
1.699891,-11.30928,2.126535
1.70162,0.05633361,2.136987
1.70162,1.535042,2.146356
1.703082,7.77526,2.156984
1.704577,0.4950757,2.166825
1.705612,-1.43724,2.178757
1.706631,-6.135928,2.188574
1.707692,-6.916155,2.198797
1.708756,-3.107955,2.209276
1.709799,-0.09377047,2.219742
1.710566,1.559192,2.228767
1.711117,-3.122634,2.239893
1.711614,-2.012263,2.261347
1.711649,-6.272357,2.272885
1.711473,-7.761653,2.281155
1.711473,-6.462371,2.290128
1.71152,-5.677849,2.298647
1.711536,-0.4706876,2.306955
1.711634,-0.1185168,2.316739
1.71208,2.939172,2.328015
1.712906,3.434474,2.339763
1.713833,6.888306,2.350132
1.714661,5.872965,2.361533
1.715285,2.938535,2.373215
1.715727,-1.706457,2.384071
1.715986,-3.710915,2.395134
1.717376,-2.941948,2.414166
1.717376,-1.372897,2.422973
1.718848,1.262034,2.43123
1.720834,16.92163,2.439695
1.722945,19.69304,2.449742
1.725143,17.37775,2.461319
1.726132,4.629425,2.472485
1.72601,-13.48625,2.483986
1.726067,-24.86984,2.494454
1.726687,-18.55103,2.505984
1.727514,-2.373496,2.516999
1.727952,7.578136,2.52791
1.727864,3.122,2.539048
1.727666,-6.112619,2.550057
1.727284,-4.300197,2.570865
1.727284,-9.412218,2.579515
1.727418,1.147663,2.589727
1.727257,3.516023,2.599176
1.726975,2.626836,2.609069
1.726991,-4.043276,2.617367
1.727205,-1.27338,2.628263
1.726874,3.695575,2.639472
1.726356,-0.0475187,2.649954
1.725692,-4.103247,2.661596
1.724933,-8.246425,2.672401
1.723947,-3.079199,2.683708
1.722969,-4.176787,2.694515
1.721897,-2.07485,2.705621
1.720242,-1.791287,2.724633
1.720242,2.989557,2.732535
1.718918,3.909583,2.742494
1.717465,-6.040726,2.753796
1.716114,-9.502765,2.762036
1.715346,-7.224499,2.772
1.715075,6.438869,2.783538
1.715484,11.21089,2.794134
1.716587,13.70102,2.805439
1.718335,17.97082,2.816419
1.720031,15.20928,2.828373
1.721956,10.88843,2.839309
1.723925,5.067383,2.850547
1.725838,2.469602,2.860814
1.729208,0.7521864,2.881789
1.729208,1.482328,2.890428
1.730682,-11.91366,2.899193
1.732161,0.05262342,2.907453
1.733592,-0.5721078,2.916439
1.734877,8.745975,2.927599
1.736071,-2.47384,2.93878
1.737083,-5.495173,2.950016
1.738099,-7.303285,2.961334
1.738982,-4.795598,2.97229
1.739871,-2.598133,2.98346
1.740876,-0.8612888,2.994256
1.7418,-0.05186706,3.005614
1.742673,0.6834296,3.01682
1.743988,-0.2108101,3.037493
1.743988,-2.935321,3.046193
1.744668,-7.542305,3.053737
1.745426,0.1571877,3.062442
1.746475,3.678246,3.072265
1.747331,8.498533,3.083058
1.748316,0.7996331,3.094229
1.749224,-0.8039302,3.105663
1.750126,-3.508999,3.116837
1.750798,-0.7417643,3.128011
1.751434,-2.92565,3.138636
1.752246,-2.254705,3.149453
1.753065,-0.2156318,3.160744
1.753836,1.303514,3.172633
